"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some other race alone","Total:!!Two or more races:","Total:!!Two or more races:!!Two races including Some other race","Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","226,451","78,661","131,159","478","6,933","23","2,941","6,256","1,156","5,100"
"Morgan County, Alabama","","","","","","","","","",""
"    Estimate","119,352","93,765","15,137","506","661","196","4,927","4,160","1,186","2,974"
"Perry County, Alabama","","","","","","","","","",""
"    Estimate","9,104","2,696","6,290","3","8","0","103","4","0","4"
"Pickens County, Alabama","","","","","","","","","",""
"    Estimate","20,049","11,384","8,078","38","8","0","269","272","27","245"
"Pike County, Alabama","","","","","","","","","",""
"    Estimate","33,274","19,230","12,415","121","715","3","41","749","78","671"
"Randolph County, Alabama","","","","","","","","","",""
"    Estimate","22,732","17,563","4,327","99","49","0","176","518","72","446"
"Russell County, Alabama","","","","","","","","","",""
"    Estimate","57,938","27,675","26,023","85","676","30","1,538","1,911","409","1,502"
"St. Clair County, Alabama","","","","","","","","","",""
"    Estimate","88,929","77,393","8,399","482","668","18","722","1,247","231","1,016"
"Shelby County, Alabama","","","","","","","","","",""
"    Estimate","216,350","172,560","26,213","834","4,231","43","5,821","6,648","1,502","5,146"
"Sumter County, Alabama","","","","","","","","","",""
"    Estimate","12,595","3,190","8,987","8","247","0","39","124","100","24"
"Talladega County, Alabama","","","","","","","","","",""
"    Estimate","80,244","50,941","25,904","282","432","151","768","1,766","120","1,646"
"Tallapoosa County, Alabama","","","","","","","","","",""
"    Estimate","40,450","28,258","11,178","51","167","0","301","495","54","441"
"Tuscaloosa County, Alabama","","","","","","","","","",""
"    Estimate","208,854","132,297","67,305","453","3,435","45","1,779","3,540","1,220","2,320"
"Walker County, Alabama","","","","","","","","","",""
"    Estimate","63,802","57,142","3,856","188","238","0","652","1,726","410","1,316"
"Washington County, Alabama","","","","","","","","","",""
"    Estimate","16,336","10,781","3,962","1,223","30","0","25","315","0","315"
"Wilcox County, Alabama","","","","","","","","","",""
"    Estimate","10,552","2,868","7,418","12","4","0","0","250","0","250"
"Winston County, Alabama","","","","","","","","","",""
"    Estimate","23,712","22,663","193","71","89","16","261","419","31","388"
"Aleutians East Borough, Alaska","","","","","","","","","",""
"    Estimate","3,389","500","129","1,382","815","11","175","377","74","303"
"Aleutians West Census Area, Alaska","","","","","","","","","",""
"    Estimate","5,708","1,510","167","615","2,338","170","316","592","222","370"
"Anchorage Municipality, Alaska","","","","","","","","","",""
"    Estimate","292,090","178,735","15,507","21,921","28,672","8,332","6,881","32,042","2,527","29,515"
"Bethel Census Area, Alaska","","","","","","","","","",""
"    Estimate","18,263","1,875","145","15,194","212","45","49","743","26","717"
"Bristol Bay Borough, Alaska","","","","","","","","","",""
"    Estimate","739","384","4","225","17","9","21","79","0","79"
"Chugach Census Area, Alaska","","","","","","","","","",""
"    Estimate","6,495","4,888","72","400","372","62","226","475","55","420"
"Copper River Census Area, Alaska","","","","","","","","","",""
"    Estimate","2,894","1,657","5","824","16","0","7","385","79","306"
"Denali Borough, Alaska","","","","","","","","","",""
"    Estimate","2,502","2,031","54","43","51","0","10","313","0","313"
"Dillingham Census Area, Alaska","","","","","","","","","",""
"    Estimate","4,934","816","74","3,652","20","3","34","335","6","329"
"Fairbanks North Star Borough, Alaska","","","","","","","","","",""
"    Estimate","98,455","72,757","4,628","7,615","3,219","558","1,651","8,027","1,057","6,970"
"Haines Borough, Alaska","","","","","","","","","",""
"    Estimate","2,547","1,964","0","164","45","4","1","369","0","369"
"Hoonah-Angoon Census Area, Alaska","","","","","","","","","",""
"    Estimate","2,135","1,046","72","712","49","0","21","235","0","235"
"Juneau City and Borough, Alaska","","","","","","","","","",""
"    Estimate","32,099","21,300","278","3,233","2,186","373","443","4,286","650","3,636"
"Kenai Peninsula Borough, Alaska","","","","","","","","","",""
"    Estimate","58,809","47,891","380","4,649","976","212","874","3,827","393","3,434"
"Ketchikan Gateway Borough, Alaska","","","","","","","","","",""
"    Estimate","13,833","8,997","94","2,034","1,145","25","191","1,347","159","1,188"
"Kodiak Island Borough, Alaska","","","","","","","","","",""
"    Estimate","13,383","7,136","67","1,664","3,060","31","159","1,266","272","994"
"Kusilvak Census Area, Alaska","","","","","","","","","",""
"    Estimate","8,298","273","39","7,715","11","6","58","196","0","196"
"Lake and Peninsula Borough, Alaska","","","","","","","","","",""
"    Estimate","1,156","281","80","679","26","3","1","86","0","86"
"Matanuska-Susitna Borough, Alaska","","","","","","","","","",""
"    Estimate","107,360","87,853","1,472","6,494","1,574","317","649","9,001","741","8,260"
"Nome Census Area, Alaska","","","","","","","","","",""
"    Estimate","10,009","1,490","74","7,661","266","2","16","500","34","466"
"North Slope Borough, Alaska","","","","","","","","","",""
"    Estimate","9,375","2,683","147","4,933","546","204","128","734","41","693"
"Northwest Arctic Borough, Alaska","","","","","","","","","",""
"    Estimate","7,709","897","78","6,312","91","8","17","306","29","277"
"Petersburg Borough, Alaska","","","","","","","","","",""
"    Estimate","3,278","2,207","66","225","476","6","12","286","2","284"
"Prince of Wales-Hyder Census Area, Alaska","","","","","","","","","",""
"    Estimate","6,338","2,989","35","2,489","98","40","17","670","19","651"
"Sitka City and Borough, Alaska","","","","","","","","","",""
"    Estimate","8,569","5,519","54","987","655","14","66","1,274","83","1,191"
"Skagway Municipality, Alaska","","","","","","","","","",""
"    Estimate","1,300","1,027","58","59","34","0","3","119","6","113"
"Southeast Fairbanks Census Area, Alaska","","","","","","","","","",""
"    Estimate","6,911","5,207","68","971","194","14","173","284","27","257"
"Wrangell City and Borough, Alaska","","","","","","","","","",""
"    Estimate","2,510","1,636","8","571","43","32","12","208","14","194"
"Yakutat City and Borough, Alaska","","","","","","","","","",""
"    Estimate","597","230","34","172","50","2","10","99","0","99"
"Yukon-Koyukuk Census Area, Alaska","","","","","","","","","",""
"    Estimate","5,305","1,182","5","3,703","32","2","10","371","13","358"
"Apache County, Arizona","","","","","","","","","",""
"    Estimate","71,714","15,787","545","52,565","262","55","759","1,741","687","1,054"
"Cochise County, Arizona","","","","","","","","","",""
"    Estimate","126,442","103,789","5,158","1,461","2,386","400","3,071","10,177","5,796","4,381"
"Coconino County, Arizona","","","","","","","","","",""
"    Estimate","142,254","89,806","1,929","37,159","2,737","175","4,230","6,218","1,125","5,093"
"Gila County, Arizona","","","","","","","","","",""
"    Estimate","53,846","39,844","391","8,665","446","32","1,814","2,654","963","1,691"
"Graham County, Arizona","","","","","","","","","",""
"    Estimate","38,304","29,683","683","4,814","262","41","563","2,258","1,499","759"
"Greenlee County, Arizona","","","","","","","","","",""
"    Estimate","9,465","8,297","175","364","38","0","135","456","316","140"
"La Paz County, Arizona","","","","","","","","","",""
"    Estimate","21,035","15,584","205","3,070","171","4","853","1,148","717","431"
"Maricopa County, Arizona","","","","","","","","","",""
"    Estimate","4,412,779","3,256,087","249,691","85,061","187,298","9,696","313,146","311,800","165,112","146,688"
"Mohave County, Arizona","","","","","","","","","",""
"    Estimate","210,998","185,584","1,976","4,323","2,506","470","6,647","9,492","4,157","5,335"
"Navajo County, Arizona","","","","","","","","","",""
"    Estimate","110,271","52,110","1,174","48,401","521","162","3,964","3,939","479","3,460"
"Pima County, Arizona","","","","","","","","","",""
"    Estimate","1,038,476","761,356","36,441","37,350","30,086","1,752","90,077","81,414","35,955","45,459"
"Pinal County, Arizona","","","","","","","","","",""
"    Estimate","447,559","343,543","20,151","21,226","7,366","1,568","22,843","30,862","15,467","15,395"
"Santa Cruz County, Arizona","","","","","","","","","",""
"    Estimate","46,594","36,420","398","292","200","0","4,329","4,955","4,339","616"
"Yavapai County, Arizona","","","","","","","","","",""
"    Estimate","232,396","207,549","1,577","3,159","2,377","142","8,060","9,532","3,483","6,049"
"Yuma County, Arizona","","","","","","","","","",""
"    Estimate","211,931","147,059","4,611","3,104","2,534","136","31,536","22,951","17,980","4,971"
"Arkansas County, Arkansas","","","","","","","","","",""
"    Estimate","17,761","12,668","4,461","102","10","0","121","399","65","334"
"Ashley County, Arkansas","","","","","","","","","",""
"    Estimate","20,000","14,440","4,977","8","34","92","222","227","79","148"
"Baxter County, Arkansas","","","","","","","","","",""
"    Estimate","41,673","39,568","79","208","172","17","358","1,271","595","676"
"Benton County, Arkansas","","","","","","","","","",""
"    Estimate","273,510","224,196","4,257","3,289","10,884","1,826","7,870","21,188","11,347","9,841"
"Boone County, Arkansas","","","","","","","","","",""
"    Estimate","37,525","35,963","80","251","274","0","103","854","68","786"
"Bradley County, Arkansas","","","","","","","","","",""
"    Estimate","10,805","7,223","2,974","357","7","0","61","183","30","153"
"Calhoun County, Arkansas","","","","","","","","","",""
"    Estimate","5,160","3,840","1,143","0","0","15","9","153","93","60"
"Carroll County, Arkansas","","","","","","","","","",""
"    Estimate","28,062","25,059","251","338","384","277","477","1,276","640","636"
"Chicot County, Arkansas","","","","","","","","","",""
"    Estimate","10,433","4,441","5,611","16","63","0","68","234","141","93"
"Clark County, Arkansas","","","","","","","","","",""
"    Estimate","22,341","15,634","5,408","44","142","12","665","436","14","422"
"Clay County, Arkansas","","","","","","","","","",""
"    Estimate","14,710","14,053","72","57","4","0","208","316","53","263"
"Cleburne County, Arkansas","","","","","","","","","",""
"    Estimate","25,063","24,079","227","222","83","0","7","445","226","219"
"Cleveland County, Arkansas","","","","","","","","","",""
"    Estimate","8,063","6,807","1,087","23","0","0","0","146","2","144"
"Columbia County, Arkansas","","","","","","","","","",""
"    Estimate","23,620","14,412","8,542","55","192","0","213","206","37","169"
"Conway County, Arkansas","","","","","","","","","",""
"    Estimate","20,895","17,805","2,111","90","102","0","3","784","11","773"
"Craighead County, Arkansas","","","","","","","","","",""
"    Estimate","109,081","84,686","16,601","214","1,450","6","2,193","3,931","1,188","2,743"
"Crawford County, Arkansas","","","","","","","","","",""
"    Estimate","63,118","55,367","1,007","1,229","1,030","28","1,864","2,593","479","2,114"
"Crittenden County, Arkansas","","","","","","","","","",""
"    Estimate","48,381","20,655","23,512","87","361","22","100","3,644","136","3,508"
"Cross County, Arkansas","","","","","","","","","",""
"    Estimate","16,576","12,232","2,949","32","7","0","10","1,346","72","1,274"
"Dallas County, Arkansas","","","","","","","","","",""
"    Estimate","7,114","3,834","3,063","36","0","28","35","118","4","114"
"Desha County, Arkansas","","","","","","","","","",""
"    Estimate","11,538","5,631","5,471","40","46","0","176","174","33","141"
"Drew County, Arkansas","","","","","","","","","",""
"    Estimate","18,263","12,506","5,198","3","5","0","207","344","39","305"
"Faulkner County, Arkansas","","","","","","","","","",""
"    Estimate","124,800","101,992","14,357","453","1,434","167","2,331","4,066","702","3,364"
"Franklin County, Arkansas","","","","","","","","","",""
"    Estimate","17,785","16,573","175","287","133","59","171","387","107","280"
"Fulton County, Arkansas","","","","","","","","","",""
"    Estimate","12,301","11,643","41","112","16","26","9","454","49","405"
"Garland County, Arkansas","","","","","","","","","",""
"    Estimate","99,043","84,195","8,275","974","810","39","1,778","2,972","732","2,240"
"Grant County, Arkansas","","","","","","","","","",""
"    Estimate","18,229","17,122","479","20","0","29","79","500","135","365"
"Greene County, Arkansas","","","","","","","","","",""
"    Estimate","45,197","42,324","1,046","125","169","21","331","1,181","579","602"
"Hempstead County, Arkansas","","","","","","","","","",""
"    Estimate","21,695","12,252","6,531","119","28","73","2,150","542","53","489"
"Hot Spring County, Arkansas","","","","","","","","","",""
"    Estimate","33,667","28,490","3,797","95","78","6","322","879","211","668"
"Howard County, Arkansas","","","","","","","","","",""
"    Estimate","13,267","8,800","2,722","57","116","17","1,218","337","83","254"
"Independence County, Arkansas","","","","","","","","","",""
"    Estimate","37,585","33,758","719","104","305","0","1,197","1,502","382","1,120"
"Izard County, Arkansas","","","","","","","","","",""
"    Estimate","13,596","12,270","142","112","0","0","38","1,034","677","357"
"Jackson County, Arkansas","","","","","","","","","",""
"    Estimate","16,908","13,009","1,949","15","9","6","40","1,880","241","1,639"
"Jefferson County, Arkansas","","","","","","","","","",""
"    Estimate","68,123","26,739","38,000","199","671","358","733","1,423","187","1,236"
"Johnson County, Arkansas","","","","","","","","","",""
"    Estimate","26,475","23,555","412","47","596","43","537","1,285","559","726"
"Lafayette County, Arkansas","","","","","","","","","",""
"    Estimate","6,728","4,027","2,406","20","50","0","112","113","12","101"
"Lawrence County, Arkansas","","","","","","","","","",""
"    Estimate","16,511","15,636","232","45","11","2","40","545","278","267"
"Lee County, Arkansas","","","","","","","","","",""
"    Estimate","8,963","3,821","4,994","31","6","0","51","60","3","57"
"Lincoln County, Arkansas","","","","","","","","","",""
"    Estimate","13,278","8,743","4,016","73","0","0","297","149","18","131"
"Little River County, Arkansas","","","","","","","","","",""
"    Estimate","12,345","9,205","2,382","133","41","0","232","352","4","348"
"Logan County, Arkansas","","","","","","","","","",""
"    Estimate","21,619","19,425","321","175","344","0","187","1,167","636","531"
"Lonoke County, Arkansas","","","","","","","","","",""
"    Estimate","73,163","64,529","4,051","350","734","157","848","2,494","619","1,875"
"Madison County, Arkansas","","","","","","","","","",""
"    Estimate","16,393","15,152","17","132","126","102","231","633","148","485"
"Marion County, Arkansas","","","","","","","","","",""
"    Estimate","16,586","15,881","114","171","96","0","12","312","28","284"
"Miller County, Arkansas","","","","","","","","","",""
"    Estimate","43,515","30,304","10,893","576","126","42","720","854","139","715"
"Mississippi County, Arkansas","","","","","","","","","",""
"    Estimate","41,396","24,933","14,486","30","195","34","488","1,230","327","903"
"Monroe County, Arkansas","","","","","","","","","",""
"    Estimate","6,879","3,750","2,907","47","16","0","31","128","8","120"
"Montgomery County, Arkansas","","","","","","","","","",""
"    Estimate","8,964","8,261","31","98","34","0","273","267","0","267"
"Nevada County, Arkansas","","","","","","","","","",""
"    Estimate","8,249","5,160","2,872","21","5","1","0","190","2","188"
"Newton County, Arkansas","","","","","","","","","",""
"    Estimate","7,753","7,219","3","135","8","34","57","297","57","240"
"Ouachita County, Arkansas","","","","","","","","","",""
"    Estimate","23,597","13,293","10,061","0","10","0","39","194","85","109"
"Perry County, Arkansas","","","","","","","","","",""
"    Estimate","10,342","9,561","291","18","6","0","167","299","73","226"
"Phillips County, Arkansas","","","","","","","","","",""
"    Estimate","18,151","6,385","11,524","9","0","0","53","180","126","54"
"Pike County, Arkansas","","","","","","","","","",""
"    Estimate","10,714","9,526","408","48","21","0","384","327","120","207"
"Poinsett County, Arkansas","","","","","","","","","",""
"    Estimate","23,747","20,672","888","18","11","0","267","1,891","199","1,692"
"Polk County, Arkansas","","","","","","","","","",""
"    Estimate","19,999","18,052","104","319","61","21","702","740","115","625"
"Pope County, Arkansas","","","","","","","","","",""
"    Estimate","63,926","57,146","1,741","338","714","0","1,739","2,248","391","1,857"
"Prairie County, Arkansas","","","","","","","","","",""
"    Estimate","8,138","6,988","946","10","14","0","40","140","43","97"
"Pulaski County, Arkansas","","","","","","","","","",""
"    Estimate","393,078","214,559","145,595","1,383","8,615","266","9,590","13,070","2,671","10,399"
"Randolph County, Arkansas","","","","","","","","","",""
"    Estimate","17,934","16,759","165","62","58","111","135","644","185","459"
"St. Francis County, Arkansas","","","","","","","","","",""
"    Estimate","25,477","10,237","13,470","117","170","41","519","923","590","333"
"Saline County, Arkansas","","","","","","","","","",""
"    Estimate","120,990","105,305","9,273","339","1,454","110","1,248","3,261","898","2,363"
"Scott County, Arkansas","","","","","","","","","",""
"    Estimate","10,269","8,934","222","37","141","0","458","477","69","408"
"Searcy County, Arkansas","","","","","","","","","",""
"    Estimate","7,898","7,178","41","263","28","0","9","379","251","128"
"Sebastian County, Arkansas","","","","","","","","","",""
"    Estimate","127,670","91,997","7,910","1,344","5,798","24","12,504","8,093","1,548","6,545"
"Sevier County, Arkansas","","","","","","","","","",""
"    Estimate","16,947","10,503","786","454","82","86","4,607","429","106","323"
"Sharp County, Arkansas","","","","","","","","","",""
"    Estimate","17,217","16,150","176","29","3","0","53","806","294","512"
"Stone County, Arkansas","","","","","","","","","",""
"    Estimate","12,582","11,835","12","45","64","0","90","536","228","308"
"Union County, Arkansas","","","","","","","","","",""
"    Estimate","39,089","25,064","12,883","286","302","0","168","386","20","366"
"Van Buren County, Arkansas","","","","","","","","","",""
"    Estimate","16,578","15,648","103","212","22","14","139","440","160","280"
"Washington County, Arkansas","","","","","","","","","",""
"    Estimate","236,198","177,522","8,080","1,918","6,262","6,243","21,724","14,449","6,435","8,014"
"White County, Arkansas","","","","","","","","","",""
"    Estimate","78,725","71,589","3,369","356","626","0","630","2,155","385","1,770"
"Woodruff County, Arkansas","","","","","","","","","",""
"    Estimate","6,477","4,520","1,893","1","0","0","0","63","0","63"
"Yell County, Arkansas","","","","","","","","","",""
"    Estimate","21,425","16,669","448","83","261","0","3,615","349","44","305"
"Alameda County, California","","","","","","","","","",""
"    Estimate","1,661,584","631,037","171,922","11,037","519,249","13,648","184,195","130,496","42,070","88,426"
"Alpine County, California","","","","","","","","","",""
"    Estimate","1,159","663","10","360","6","4","5","111","66","45"
"Amador County, California","","","","","","","","","",""
"    Estimate","39,023","33,040","931","276","375","30","1,537","2,834","798","2,036"
"Butte County, California","","","","","","","","","",""
"    Estimate","223,344","178,568","3,866","2,628","10,743","717","11,214","15,608","4,134","11,474"
"Calaveras County, California","","","","","","","","","",""
"    Estimate","45,828","40,058","450","518","864","18","1,008","2,912","968","1,944"
"Colusa County, California","","","","","","","","","",""
"    Estimate","21,491","17,012","330","239","201","32","1,369","2,308","1,670","638"
"Contra Costa County, California","","","","","","","","","",""
"    Estimate","1,147,788","608,789","98,569","5,191","200,159","5,676","124,647","104,757","35,935","68,822"
"Del Norte County, California","","","","","","","","","",""
"    Estimate","27,692","20,002","747","1,943","880","50","1,910","2,160","653","1,507"
"El Dorado County, California","","","","","","","","","",""
"    Estimate","190,345","164,552","1,586","1,312","9,111","479","4,646","8,659","1,736","6,923"
"Fresno County, California","","","","","","","","","",""
"    Estimate","990,204","597,574","46,182","11,604","105,302","1,518","143,667","84,357","50,116","34,241"
"Glenn County, California","","","","","","","","","",""
"    Estimate","28,060","22,478","218","631","877","12","2,958","886","311","575"
"Humboldt County, California","","","","","","","","","",""
"    Estimate","136,101","107,151","1,558","6,162","3,948","508","6,017","10,757","1,617","9,140"
"Imperial County, California","","","","","","","","","",""
"    Estimate","180,580","102,305","4,716","2,111","2,599","241","49,175","19,433","16,008","3,425"
"Inyo County, California","","","","","","","","","",""
"    Estimate","17,930","13,705","96","1,924","279","37","491","1,398","457","941"
"Kern County, California","","","","","","","","","",""
"    Estimate","892,458","603,368","48,530","8,462","43,381","1,380","112,122","75,215","48,130","27,085"
"Kings County, California","","","","","","","","","",""
"    Estimate","151,090","95,764","9,820","2,232","5,626","190","24,230","13,228","7,532","5,696"
"Lake County, California","","","","","","","","","",""
"    Estimate","64,276","48,712","1,583","2,540","940","15","7,252","3,234","1,057","2,177"
"Lassen County, California","","","","","","","","","",""
"    Estimate","30,600","24,181","2,713","794","471","256","840","1,345","676","669"
"Los Angeles County, California","","","","","","","","","",""
"    Estimate","10,040,682","4,795,186","810,286","78,132","1,488,626","25,068","2,113,852","729,532","408,624","320,908"
"Madera County, California","","","","","","","","","",""
"    Estimate","155,925","94,643","4,919","2,503","3,362","159","38,486","11,853","6,998","4,855"
"Marin County, California","","","","","","","","","",""
"    Estimate","259,441","199,068","6,001","673","15,060","361","20,845","17,433","4,341","13,092"
"Mariposa County, California","","","","","","","","","",""
"    Estimate","17,319","15,134","266","392","186","62","514","765","39","726"
"Mendocino County, California","","","","","","","","","",""
"    Estimate","87,110","69,709","424","3,789","1,740","137","4,746","6,565","2,480","4,085"
"Merced County, California","","","","","","","","","",""
"    Estimate","273,661","139,469","8,190","2,885","20,881","744","84,561","16,931","10,527","6,404"
"Modoc County, California","","","","","","","","","",""
"    Estimate","8,853","7,801","123","313","169","7","239","201","54","147"
"Mono County, California","","","","","","","","","",""
"    Estimate","14,395","11,966","81","407","633","0","667","641","21","620"
"Monterey County, California","","","","","","","","","",""
"    Estimate","432,977","209,849","11,162","3,072","25,186","2,104","151,957","29,647","14,697","14,950"
"Napa County, California","","","","","","","","","",""
"    Estimate","138,572","98,614","2,862","961","10,485","261","15,647","9,742","4,213","5,529"
"Nevada County, California","","","","","","","","","",""
"    Estimate","99,417","91,597","410","496","1,108","150","1,172","4,484","684","3,800"
"Orange County, California","","","","","","","","","",""
"    Estimate","3,170,345","1,826,960","54,061","15,552","667,534","9,497","379,652","217,089","96,864","120,225"
"Placer County, California","","","","","","","","","",""
"    Estimate","391,799","314,938","6,310","2,204","31,938","910","10,585","24,914","6,738","18,176"
"Plumas County, California","","","","","","","","","",""
"    Estimate","18,844","16,679","279","350","232","29","334","941","180","761"
"Riverside County, California","","","","","","","","","",""
"    Estimate","2,437,864","1,358,654","157,908","18,852","164,464","7,915","539,108","190,963","103,291","87,672"
"Sacramento County, California","","","","","","","","","",""
"    Estimate","1,537,948","839,349","148,884","9,505","256,464","17,028","125,950","140,768","41,016","99,752"
"San Benito County, California","","","","","","","","","",""
"    Estimate","61,547","45,157","523","527","1,745","63","6,217","7,315","4,399","2,916"
"San Bernardino County, California","","","","","","","","","",""
"    Estimate","2,162,532","1,212,480","176,523","18,369","159,917","6,788","386,398","202,057","114,747","87,310"
"San Diego County, California","","","","","","","","","",""
